[2022/05/11 13:02:56][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_宮崎県宮崎県税・総務事務所_課税第１課課税第１担当_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:02:58][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_山口県山口県税事務所_課税課 課税第一班_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:03:01][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_岐阜県岐阜県税事務所_課税課 法人事業税第一係・第二係_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:03:03][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_岡山市役所財政局課税管理課_岡山市役所財政局課税管理課_申請・届出受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:03:06][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_岡山県備前県民局税務部_直税課法人課税第一、二班_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:03:08][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_岡山県備前県民局税務部_直税課法人課税第一、二班_申請・届出受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:03:11][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_岩手県沿岸広域振興局大船渡地域振興センター県税室__申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:03:13][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_岩手県沿岸広域振興局宮古地域振興センター県税室_課税課_申請・届出受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:03:16][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_島根県東部県民センター_法人グループ_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:03:18][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_広島市（償却資産・中区）_税務部固定資産税課償却資産係_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:03:21][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_広島県西部県税事務所（広島）_法人課税課_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:03:24][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_徳島県東部県税局（徳島庁舎）_県民税・事業税担当_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:03:27][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_愛媛県中予地方局_総務企画部課税課事業税係_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:03:29][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_愛知県名古屋南部県税事務所_県民税・事業税グループ_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:03:32][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_東京都豊島都税事務所_事業税課法人事業税班_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:03:34][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_東京都豊島都税事務所_事業税課法人事業税班_申告書の訂正通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:03:37][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_沖縄県那覇県税事務所_法人班_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:03:40][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_滋賀県西部県税事務所_課税一課_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:03:42][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_神戸市役所_法人税務課_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:03:44][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_神戸市役所_法人税務課_申請・届出受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:03:47][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_福岡県博多県税事務所_課税第二課_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:03:50][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_福島県県北地方振興局_県税部_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:03:52][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_長崎県長崎振興局税務部_法人課税課_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:03:55][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_静岡県沼津財務事務所_直税第１課_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:03:58][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_香川県県税事務所_課税課_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:04:00][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_鳥取県東部県税事務所_課税課事業税担当_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:04:03][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_鹿児島県北薩地域振興局_県税課_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:04:06][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/226_有限会社 広島四恩社_広島市（法人）_税務部市民税課法人課税係_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:04:08][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/226_有限会社 広島四恩社_広島県西部県税事務所（広島）_法人課税課_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:04:11][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/230_株式会社 ＦＩＯＲＥ_広島市（法人）_税務部市民税課法人課税係_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:04:14][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/230_株式会社 ＦＩＯＲＥ_広島県西部県税事務所（広島）_法人課税課_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:04:16][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/246_有限会社 バンセイ_広島市（償却資産・安佐南区）_税務部固定資産税課償却資産係_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
