[2022/03/29 18:06:02][DEBUG](PDFReadForList.py:188) 要PDF変換//Sv05121a/e/電子ファイル/メッセージボックス/2022-3/送信分受信通知/1130/1130送付書.pdf MergeFilsT d:\PythonScript\RPAScript\PDFReadForList.py
[2022/03/29 18:06:02][DEBUG](PDFReadForList.py:188) 要PDF変換//Sv05121a/e/電子ファイル/メッセージボックス/2022-3/送信分受信通知/1130/所得税及び復興特別所得税申告.pdf MergeFilsT d:\PythonScript\RPAScript\PDFReadForList.py
[2022/03/29 18:06:02][DEBUG](PDFReadForList.py:188) 要PDF変換//Sv05121a/e/電子ファイル/メッセージボックス/2022-3/送信分受信通知/1141/国税電子申告・納税システム－SU00S140 申告書等送信票（兼送付書）.pdf MergeFilsT d:\PythonScript\RPAScript\PDFReadForList.py
[2022/03/29 18:06:02][DEBUG](PDFReadForList.py:188) 要PDF変換//Sv05121a/e/電子ファイル/メッセージボックス/2022-3/送信分受信通知/1141/所得税及び復興特別所得税申告.pdf MergeFilsT d:\PythonScript\RPAScript\PDFReadForList.py
[2022/03/29 18:06:02][DEBUG](PDFReadForList.py:188) 要PDF変換//Sv05121a/e/電子ファイル/メッセージボックス/2022-3/送信分受信通知/1142/1142.pdf MergeFilsT d:\PythonScript\RPAScript\PDFReadForList.py
[2022/03/29 18:06:02][DEBUG](PDFReadForList.py:188) 要PDF変換//Sv05121a/e/電子ファイル/メッセージボックス/2022-3/送信分受信通知/1142/1142送付書.pdf MergeFilsT d:\PythonScript\RPAScript\PDFReadForList.py
[2022/03/29 18:06:02][DEBUG](PDFReadForList.py:188) 要PDF変換//Sv05121a/e/電子ファイル/メッセージボックス/2022-3/送信分受信通知/1142/消費税及び地方消費税申告(一般・個人).pdf MergeFilsT d:\PythonScript\RPAScript\PDFReadForList.py
[2022/03/29 18:06:02][DEBUG](PDFReadForList.py:188) 要PDF変換//Sv05121a/e/電子ファイル/メッセージボックス/2022-3/送信分受信通知/1144/ミロク送信分/1144.pdf MergeFilsT d:\PythonScript\RPAScript\PDFReadForList.py
[2022/03/29 18:06:02][DEBUG](PDFReadForList.py:188) 要PDF変換//Sv05121a/e/電子ファイル/メッセージボックス/2022-3/送信分受信通知/1145/所得税及び復興特別所得税申告.pdf MergeFilsT d:\PythonScript\RPAScript\PDFReadForList.py
[2022/03/29 18:06:02][DEBUG](PDFReadForList.py:188) 要PDF変換//Sv05121a/e/電子ファイル/メッセージボックス/2022-3/送信分受信通知/1145/消費税.pdf MergeFilsT d:\PythonScript\RPAScript\PDFReadForList.py
[2022/03/29 18:06:03][DEBUG](PDFReadForList.py:188) 要PDF変換//Sv05121a/e/電子ファイル/メッセージボックス/2022-3/送信分受信通知/1146/ミロク送信分/消費税及び地方消費税申告(一般・個人).pdf MergeFilsT d:\PythonScript\RPAScript\PDFReadForList.py
[2022/03/29 18:06:03][DEBUG](PDFReadForList.py:188) 要PDF変換//Sv05121a/e/電子ファイル/メッセージボックス/2022-3/送信分受信通知/1147/ミロク送信分/1147.pdf MergeFilsT d:\PythonScript\RPAScript\PDFReadForList.py
