[2022/05/17 11:32:10][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/TKC22.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:10][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/TKC24.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:10][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/TKC25.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:10][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/TKC26.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:11][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/TKC28.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:11][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/TKC30.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:11][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/TKC31.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:11][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/TKC7.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:11][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/TKCL.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:11][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/20220516/eltaxPreList.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
